word,count
塔克,1353
啊啊啊,587
 ,491
哈哈哈,362
呜呜,305
老师,264
草,242
＼,192
生日快乐,187
哈哈哈哈,165
草草,129
哈斯,89
老婆,87
太,82
可爱,81
好听,76
死,70
喜欢,58
救命,57
kksk,55
哦哦哦,52
爱,49
我来,37
亿遍,37
涩,35
听,35
章鱼,35
说,35
斯,34
me,34
围观,33
all,33
eyes,33
on,33
黑皮,32
Now,32
太帅,31
好涩,30
噢,30
ALL,30
EYES,30
ON,30
✨,30
太绝,29
好好,28
飞,28
内味,27
再来,26
awsl,26
真的,25
蛇院,25
太涩,25
谢谢,24
笑,24
hso,24
鹰院,22
太会,21
女孩,21
报道,21
妈咪,20
一遍,20
www,19
斯旺,19
耶,19
裤裤,19
感觉,19
好看,19
好辣,19
声音,18
伙伴,18
好帅,17
卧槽,16
中,16
厉害,16
好好看,15
唱,15
狮院,15
棒,15
狂喜,15
孩子,15
NOW,15
YOU,15
ME,15
裤子,14
tako,14
妈妈,14
曲绘,14
双厨,14
恭喜,14
好强,13
芜湖,13
泪目,13
太强,13
好棒,13
太棒了,13
辣,13
DT,13
永远,12
好色,12
歌,12
