word,count
 ,201
哈哈哈,117
哈哈哈哈,52
草,45
九哥,35
塔,32
可爱,29
尔斯,28
桶,26
马桶,21
呜呜,20
哥,19
玩,18
死,18
现场,18
弹幕,16
awsl,15
声音,14
好家伙,13
太,13
吟唱,13
笑,12
真,12
直播间,12
doge,11
开幕,11
耶,11
喵,10
说,10
啊啊啊,10
雷击,10
小号,10
500,10
我来,9
投币,9
up,9
吸吸,9
第一,8
感觉,8
想,8
懂,8
系列,8
猫猫,8
憨,8
SimHei,8
爱,7
苦力,7
噗,7
吃,7
游戏,7
嗷,7
果断,7
大妈,7
关注,6
鬼,6
好萌,6
这是,6
对面,6
抱,6
UP,6
主,6
进,6
直播,6
喜欢,6
厉害,6
热度,6
家,6
骗,5
裤子,5
轻,5
鬼才,5
做,5
硬币,5
不行,5
真的,5
好评,5
捅,5
崔泽建,5
破坏者,5
梅开二度,5
牛,4
还行,4
先,4
c,4
确实,4
三连,4
⊙,4
转,4
收益,4
枕,4
此曲,4
加油,4
处决,4
听,4
｡,4
rua,4
卖,4
扁担,4
杰哥,4
就点,4
