word,count
 ,512
方式,309
抱歉,243
哈哈哈,224
保护,168
哈哈哈哈,138
笑,91
懂,53
doge,49
开心,49
玥,47
登,45
dua,42
长大,41
草,38
说,37
吃,36
想,34
死,34
可爱,34
郎,32
新世界,30
¿,29
打开,29
两个,29
好家伙,26
买,26
震惊,25
太,23
急,23
♂,21
耶,21
点,20
兔子,20
访问,20
标题,19
喜欢,19
直播,19
致癌,19
话,18
兔头,18
康康,18
开幕,17
凉,17
声音,17
蟑螂,17
爱,17
大门,17
同学,16
兔,16
虎狼,15
雷击,15
新型,15
b,15
害怕,15
首页,15
真的,15
之词,14
遗憾,14
网络,14
挺,14
发现,14
麻辣,14
弹幕,13
孩子,13
诈骗,13
舰长,13
片哥,13
打架,13
饼干,13
好好,12
不对劲,12
请,12
僵尸,12
关注,12
听,12
画,12
那一刻,12
暴露,12
明天,12
图片,11
完,11
世界,11
卖家,11
朋友,11
月,11
跳舞,11
杏仁,11
反思,10
仅供参考,10
这是,10
秒,10
站,10
B,10
姐姐,10
不吃,10
老虎,10
确实,10
那种,10
泡面,10
