word,count
兔,48
哈哈哈,35
 ,29
草,28
兔兔,23
前方,19
耶,18
哈哈哈哈,18
憨,17
好家伙,17
高能,17
笑,16
麻辣,11
开幕,9
可爱,8
死,8
说,8
兔子,7
不愧,7
兔头,7
舔,7
doge,7
吃,7
雪狐,6
全家福,6
声音,6
受,5
awsl,5
雷击,5
影流,5
害怕,5
想,5
开头,5
lelu,5
直播间,5
变态,4
开心,4
你好,4
抱,4
哦哦哦,4
回收,4
视频,4
活着,4
太,4
危,4
社死,4
重,4
真的,3
分钟,3
奇怪,3
BGM,3
一只,3
耳朵,3
请,3
吓人,3
道理,3
kksk,3
呜呜,3
跑,3
好吃,3
救命,3
哭,3
感觉,3
真,3
太冲,3
住,3
两,3
这是,3
热乎,3
好奇心,3
分身,3
之术,3
急,3
小时,3
fa,3
阿巴,3
疯,3
攻,2
我莫得,2
滑稽,2
懂,2
听到,2
那种,2
强,2
诶,2
健身,2
好多,2
地方,2
恭喜,2
gachi,2
舰长,2
走,2
手动,2
危险,2
jpg,2
刚刚,2
up,2
虚,2
花椒,2
加水,2
