word,count
 ,127
草,54
害怕,23
哈哈哈,17
可爱,17
狼,14
阿言,14
awsl,12
kksk,11
啊啊啊,10
点,8
哈哈哈哈,7
黑川言,7
爱,7
屑,6
喜欢,6
想,6
吓人,6
脸红,6
嗷,5
好帅,5
作家,5
真,5
营业,5
可可,4
呜呜,4
好看,4
想要,4
眼神,4
踩,4
模式,4
standing,4
by,4
笑,3
说,3
男,3
姐,3
吃,3
男孩子,3
言宝,3
兔兔,3
太,3
恶魔,3
猎人,3
贴,3
hso,3
yes,3
骂,3
龙猫,3
www,3
膨胀,3
本音,3
泡泡,3
变脸,3
尾巴,3
抢劫,3
黑心,3
屮,3
太草,2
hhhhh,2
喝,2
前方,2
店长,2
进,2
厨房,2
画,2
好事,2
椿姐,2
米什,2
真的,2
孩,2
子,2
罗,2
老师,2
饼,2
l,2
doge,2
bl,2
阿言贴,2
厉害,2
歪,2
哥哥,2
兽,2
･,2
三明,2
欧宝,2
sodayo,2
懂,2
泪目,2
再来,2
学习,2
whl,2
越,2
跑,2
火车,2
欢快,2
小曲儿,2
万,2
针,2
戳,2
