word,count
 ,95
莉娅,85
哈哈哈,81
草,60
哈哈哈哈,47
可爱,36
玩,23
暖,22
黑幕,22
走,18
笑,17
好家伙,16
低俗,15
不远,15
awsl,13
社死,12
樱花,11
好听,11
开心,9
耶,8
说,8
喜欢,8
露脸,8
现场,8
男生,8
换装,8
老婆,8
离谱,7
高,7
太,6
天空,6
蔚蓝色,6
窗外,6
千纸鹤,6
真的,6
噗,6
猫,6
啊啊啊,6
这是,6
动漫,5
同事,5
小游戏,5
直播,5
游戏,5
弹幕,5
中,5
爱,5
雪狐,5
500,5
天鹅,5
路过,4
女生,4
情敌,4
麻麻,4
兄弟,4
玩家,4
儿子,4
那种,4
不愧,4
♂,4
doge,4
娅,4
好像,4
死,4
确实,4
想,4
噔,4
衣服,4
回来,4
情商,4
还行,4
加油,4
初见,4
眼神,4
i,4
⎛,4
⎝,4
⏝,4
喵,3
声音,3
闪耀,3
▽,3
二次元,3
睡,3
这能,3
4399,3
dd,3
无疑,3
van,3
回收,3
开头,3
完,3
危,3
有个,3
男,3
说话,3
方式,3
没错,3
刮痧,3
孩子,3
