word,count
Niki,2872
 ,1967
哈哈哈,1111
草,649
哈哈哈哈,477
NIKI,456
awsl,276
害怕,266
niki,170
飞飞,159
啊啊啊,158
住,139
蚌埠,138
好看,137
笑,126
骂,125
吾,117
卧槽,113
老板,112
逆天,109
吸吸,108
一友,106
死,102
说,99
好家伙,99
真的,98
可爱,86
doge,72
玩,72
太,71
确实,67
懂,66
真,63
不行,63
知识,63
♂,62
加油,61
人生,60
结束,60
离谱,59
现场,58
想,51
女人,50
穿,50
心疼,50
¿,47
没事,46
陪,46
弹幕,45
破防,44
草草,43
网站,43
喜欢,42
直播,42
哭,40
好像,40
真实,39
钱,39
嫖,39
免费,39
爱,38
奇怪,38
逆大天,38
吸,38
ZDNBWC,38
☁,38
woc,37
亲哥,37
不用,37
❤,37
感觉,36
谢谢,36
声音,35
kksk,35
狗,34
前方,34
朋友,33
hso,33
看过,33
丝袜,33
漫画,33
开幕,32
做,32
猫,32
️,32
雷击,31
NiKi,31
走,30
高能,30
找,30
完,30
不住,29
骗,29
好大,29
1000,28
危,28
兄弟,27
女朋友,27
坏,27
哥哥,27
