word,count
奈璐,162
 ,152
Naru,101
naru,61
草,24
好听,17
hso,9
♪,8
๑,8
॑,8
胸毛,7
耶,6
可爱,6
awsl,5
⸜,4
꒳,4
⸝,4
✰,4
爱,4
 ,4
鸭,4
懂,3
听,3
哈哈哈,3
吨,3
鸭子,3
吃,3
narunarunarunarunarunarunarunarunarunaru,3
哈哈哈哈,2
奶毛,2
众所周知,2
尾巴,2
有人,2
不难,2
想要,2
张飞,2
鬼,2
好家伙,2
发现,2
再来,2
亿遍,2
这是,2
保安,2
狐狸,2
好活,2
不对劲,2
离谱,2
一只,2
汀,2
想,2
危,2
起手,2
3D,2
单推,2
观众,1
女朋友,1
狗头,1
笑,1
死,1
呦,1
心疼,1
团灭,1
考前,1
拜,1
温油,1
混沌,1
系,1
身上,1
毛毛,1
叔叔,1
检查,1
胸口,1
有没有,1
一种,1
独立,1
生物,1
史,1
氪,1
郎,1
腿毛,1
会会会,1
牌子,1
璐,1
撮,1
清純,1
可愛美麗,1
溫柔,1
我要,1
胸毛多,1
有意思,1
出差,1
hhhhc,1
网,1
络,1
现,1
状,1
霸占,1
全屏,1
成盒,1
提桶,1
