word,count
 ,1298
草草,292
哈哈哈,225
守夜,219
草,217
doge,105
可爱,103
哈哈哈哈,88
想,86
基友,85
说,83
加油,80
漫画,77
真香,77
好家伙,74
看过,73
√,73
✓,67
击剑,65
变,60
勇者,60
安安,57
C,57
c,57
死,57
感觉,57
害怕,54
笑,54
兄弟,53
吃,53
♂,52
真的,52
我要,50
耶,48
爱,45
太,45
爷青回,45
喜欢,44
请,44
男,41
做,40
懂,39
好像,39
啊啊啊,39
配音,39
男主,39
走,38
中,37
卧槽,35
棍勇,35
超级,35
兴奋,35
公主,34
声音,33
安晴,33
老婆,33
剑,33
李姐,31
爽,30
哦哦哦,30
真,29
分钟,29
好事,29
视频,28
女,28
东西,28
热乎,27
逼,27
狗头,27
B,26
内行,26
女神,26
乂,26
欧拉,26
赛亚人,26
弹幕,25
变质,25
a,25
up,25
直呼,25
信,25
抱歉,25
企鹅,24
牛,24
友谊,24
美少女,24
离谱,23
不对劲,23
好大,23
务必,23
安哥,22
两个,22
世界,22
人类,22
BGM,22
做人,22
好看,22
发生,22
再见,22
女生,21
