word,count
哈哈哈,366
哈哈哈哈,159
 ,55
提前,23
心疼,21
司司,21
小姐,17
弹幕,15
笑,14
憨,11
安慰,10
还好,10
三连,8
恭喜,8
嘲笑,7
老惨,7
好家伙,6
牛,6
时间,6
草,5
第一,5
围观,5
白给,5
开心,5
死,5
┴,5
无常,4
好看,4
住,4
赶来,4
欧皇,4
◉,4
不锈钢,4
天地,3
万物,3
娲,3
纯姐,3
神,3
点,3
doge,3
梅开二度,3
说,3
颜色,3
梦想,3
噗,3
三件,3
消消,3
乐,3
帽子戏法,3
羡慕,3
304,3
忍住,3
疯,3
隐隐,2
于市,2
轮回,2
不愧,2
帅,2
2333,2
无敌,2
尬,2
害怕,2
想,2
中,2
僵尸,2
六道轮回,2
司命,2
漂亮,2
男朋友,2
戒指,2
真的,2
嗝,2
结局,2
话,2
真,2
可爱,2
三白,2
心肺,2
停止,2
哈哈笑,2
没事,2
一件,2
自欺欺人,2
歌,2
心态,2
←,2
手,2
23333,2
机器人,2
挺,2
危,2
猜,2
多发,2
‿,2
伞,2
对不起,2
bgm,2
实在,2
三星,2
忍不住,2
