word,count
 ,7365
草,3277
哈哈哈,2626
好开,1325
哈哈哈哈,1145
耶,1048
好家伙,1048
小希,813
说,768
确实,661
小桃,635
泪目,587
AI,477
太,471
骂,449
真的,420
喜欢,419
力量,402
笑,383
想,381
桃桃,376
可爱,371
好活,359
死,349
开,338
懂,326
真,319
买,312
沙雕,295
保护,295
爱,293
动画,289
bgm,285
里,282
好看,276
高,268
这是,267
卧槽,265
做,261
缝合,257
真实,254
谢谢,252
塔塔开,248
呜呜,241
别骂,239
世界,238
日本,230
doge,229
经典,224
BGM,223
老师,221
虚,213
吃,212
啊啊啊,211
完,208
永远,207
桃,205
好像,205
新,202
哭,199
挺,192
比基尼,185
悟,185
少女,183
感觉,181
小柔,180
神,175
裤衩,175
hso,174
铠甲,166
玩,165
草草,164
中,161
机器人,159
蜘蛛,159
偶像,157
鬼,156
看过,156
闪现,155
内行,154
直呼,153
点,152
年,152
万圣节,149
钱,147
我悟,147
开团,147
jpg,146
相声,145
游戏,144
还行,143
破防,136
awsl,135
变,134
人类,133
希桃,133
中国,132
东西,132
不行,131
老婆,130
