word,count
 ,484
rua,301
哈哈哈,245
对面,125
哈哈哈哈,96
准星,93
恶魔,78
枪,72
死,72
抖,59
喷,56
子弹,51
队友,50
真,48
离谱,47
草,46
现场,44
玩,43
真的,39
刀,38
武器,37
好家伙,36
游戏,36
狙,35
开,35
主,32
爱,30
可爱,29
doge,29
bgm,29
这是,28
警喷,28
太,26
跳,25
黑手党,25
笑,25
一枪,25
新星,25
赚钱,24
老婆,24
卧槽,24
内格夫,24
准心,23
局,23
敌人,23
野牛,23
杀,22
实验室,22
先开,22
头,22
说,21
电击,20
这枪,20
跑,20
爆头,20
热乎,19
想,19
折磨,19
掏出,19
钱,19
喷子,19
BGM,18
阴间,18
ai,18
闪,18
埋,18
搜点,17
为啥,17
包,17
仔,17
枪头,17
点,17
土炮,17
懂,16
嚣张,16
对手,16
马,16
喜欢,16
甲,16
沙鹰,16
up,16
白银,16
声音,15
病友,15
匪,15
菜,15
憨,15
高,15
不用,14
甩,14
男团,14
打死,14
好评,14
同款,14
正确,14
感觉,14
开枪,14
卡,14
吃,14
黑,14
