word,count
 ,218
柔宝,168
草,99
哈哈哈,92
柔柔,84
孙女,82
小柔,75
好听,64
哈哈哈哈,55
耶,44
可爱,43
⎛,24
⎝,24
⏝,24
太,21
啊啊啊,21
awsl,20
杨,20
明远,20
见证,18
终于,17
历史,16
散热器,15
强,15
爱,14
吃,14
说,14
想,13
好活,13
太强,13
生,12
谢谢,12
小桃,12
柔,12
≥,12
≤,12
＼,11
笑,11
喜欢,11
听,11
肉包,11
蚌埠,11
住,11
好大,11
吸血鬼,10
真,10
kksk,10
好好,10
卧槽,10
懂,10
唱,9
出生,9
受不了,8
离谱,8
中,8
好帅,8
水冷,8
世界,8
hso,8
味儿,8
太冲,8
๑,7
厉害,7
好家伙,7
笑声,7
声音,7
揉,7
爷爷,7
老婆,7
呐呐,7
真的,6
AI,6
♪,6
॑,6
加油,6
哭,6
毛,6
专业,6
pa,6
希望,6
太棒了,6
三连,6
芜湖,6
活着,6
BGM,6
违和感,6
死,6
贴,6
玩,6
原神,6
柔哥,6
这是,5
吸,5
直播,5
孩子,5
憨,5
毛毛,5
热乎,5
小希,5
一遍,5
