word,count
小禾,474
哈哈哈,61
哈哈哈哈,29
 ,25
好听,19
笑,16
草,16
可爱,14
太,11
舰长,11
禾宝,10
真的,8
ios,8
加班,8
死,7
好活,7
方式,6
真,6
捏,6
禾,6
李信,6
钱,6
开幕,5
雷击,5
努力,5
说,5
老板,5
骂,5
吃,5
好人,4
模糊,4
聪明,4
发,4
石油,4
营业,4
牛蛙,4
精灵,4
太阳,4
￣,4
mmk,4
宝贝,4
抱歉,3
骗,3
憨,3
弹幕,3
关注,3
太草,3
点,3
狗头,3
爱,3
佬,3
嗝,3
做,3
神,3
第一,3
单推,3
饭桶,3
总督,3
糊涂,3
迫害,3
苹果,3
一半,3
傻,2
hso,2
叔叔,2
块钱,2
538,2
少,2
提督,2
干,2
漂亮,2
自我,2
块,2
doge,2
数学,2
不好,2
sc,2
300,2
小时,2
400,2
少壮,2
VTB,2
麻麻,2
还行,2
一刻,2
裂开,2
温柔,2
蚌埠,2
住,2
不愧,2
小屋,2
大庇,2
天下,2
寒士,2
欢颜,2
读,2
倒数,2
vup,2
懂,2
米饭,2
