word,count
 ,554
好听,111
0.04,80
鱼鱼,74
い,71
な,59
爱,49
た,46
れ,44
の,43
珂,42
you,40
SimHei,39
再来,37
て,36
亿遍,36
oh,36
も,35
っ,32
听,32
尤利娅,30
学家,29
草,29
I,26
太,25
ら,24
う,24
耳机,24
啊啊啊,24
か,23
声音,23
666,23
し,22
厉害,21
me,21
忘,21
と,21
く,20
感觉,20
一键,19
开口,19
跪,19
こ,19
を,18
好好,18
投币,18
0.35,18
强,17
る,16
は,16
朵莉,16
戏腔,16
ll,16
よ,15
唱,15
加油,15
生日快乐,15
鱼,15
あ,15
ん,14
一遍,14
耶,14
音色,14
三连,14
末日,14
点赞,14
0.4,14
love,14
more,14
than,14
ever,14
know,14
kksk,12
三联,12
t,12
0.45,12
0.38,12
ま,12
め,12
Oh,12
け,11
だ,11
真的,11
妖,11
up,11
不错,11
布罗,11
suki,11
つ,10
り,10
で,10
海,10
报道,10
芜湖,10
太强,10
0.42,10
女王,10
わ,10
yulia,10
が,9
