word,count
 ,437
骂,152
awsl,150
耶,145
草,126
可爱,121
好家伙,96
热乎,74
喜欢,70
umo,67
初见,58
兴奋,55
请,55
单推,54
不对劲,53
懂,49
变态,48
说,46
爱,43
玩,43
哈哈哈,43
doge,38
想,38
踩,36
原神,34
西,33
务必,33
啊啊啊,31
结婚,30
老婆,30
耳机,29
诸君,29
多谢,29
点,28
声音,27
听不见,27
睡,26
吃,26
脸红,26
真的,26
恳求,26
款待,26
好听,26
憨,26
做,25
舒服,25
听,24
分钟,24
小时,23
取关,23
い,22
关注,21
巫女,21
suki,21
不愧,21
太,21
唔,20
不行,20
大木,20
松岗,20
太会,19
呦,19
沐,19
真,18
谢谢,18
诶,18
魈,18
泡泡,17
茶壶,17
死,17
没错,17
姆,17
平时,17
し,16
感觉,16
外放,16
小声,16
哈哈哈哈,16
拆,16
 ,15
翻译,15
DD,15
里,15
加油,15
hso,15
あ,15
xp,15
摄像头,15
巫沐,14
党,14
だ,14
字幕,14
阿巴,14
█,14
画,14
爸爸,14
好评,13
kksk,13
西哟,13
回来,13
