word,count
 ,4302
好听,644
笙歌,339
奶奶,160
call,146
❤,121
听,110
阿梓,108
哈哈哈,100
❀,99
最帅,91
大哥,80
咕咕,78
声,63
太,62
音,58
爱,56
梓,55
啊啊啊,52
♚,48
大鸽,47
✿,46
喜欢,43
҉,41
呜呜,38
弹幕,38
心动,35
声音,34
承包,33
感觉,32
疯狂,30
哈哈哈哈,29
咕,28
真的,25
泪目,25
牛批,24
好好,24
▽,24
小居,24
想,23
awsl,23
表情,23
唱,22
守护,21
小可,21
表白,20
说,20
开口,20
全世界,20
鸽宝,20
温柔,19
哭,18
包,18
新年快乐,18
永远,17
超,17
i,17
依然,16
￣,16
喂喂,16
老婆,16
塔宝,16
第一,15
奶儿,15
女神,15
棒,15
小姐姐,15
笙,15
跪,15
心,15
中,14
流批,14
pv,14
•,14
⁄,14
哒,13
开头,13
高能,13
轮播,13
牛,13
走,12
笑,12
好棒,12
听到,12
♡,12
草,12
逼,12
夸夸,12
年,11
死,11
前排,11
投币,11
我爱你,11
前方,11
合唱,11
真,11
憨,11
帅,10
我来,10
可爱,10
