word,count
 ,520
好听,46
幽灵,26
•,22
加油,18
做,17
ง,16
水,14
应援,14
hello,14
　,13
想要,12
達,11
̀,11
́,11
喜欢,9
可爱,9
蓝色,7
悲伤,7
里,7
说,7
晒干,6
太阳,6
巨浪,6
凉,6
听,6
走,6
想见,6
哈哈哈,6
up,5
声音,5
弹幕,5
第一,5
啊啊啊,5
yeah,5
内心,5
感到,5
主,4
透透,4
达,4
希望,4
ﾟ,4
贴,4
一路,4
好像,4
我会,4
身边,4
想,4
轻松,4
任性,4
夏天,4
老师,4
时间,3
挺,3
下雨,3
字幕,3
真的,3
支持,3
感谢,3
首页,3
确实,3
爱情,3
未来,3
一场,3
人生,3
风景,3
唱,3
UP,3
ω,3
好好,3
薄荷,3
生日快乐,3
愿,3
低头,3
ho,3
全名,3
一名,3
抱抱,2
长,2
∠,2
call,2
嫌弃,2
天气,2
施工,2
拔凉拔,2
害怕,2
水曜日,2
假期,2
勤于,2
劈,2
腿,2
姿势,2
立体,2
前任,2
星座,2
水瓶,2
蛙泳,2
比赛,2
第一名,2
皮肤,2
