word,count
 ,37
草,27
岂有此理,25
哈哈哈,19
mari,14
给爷,14
笑,8
可爱,8
哈哈哈哈,7
懂,7
口球,7
噔,6
啊啊啊,6
说,6
451,6
开幕,5
ntr,5
雷击,4
三张,4
老婆,4
方式,4
活儿,4
牛头人,4
人妻,4
⊙,4
柴刀,4
爱,4
眼睛,4
请,4
上吊,4
禁,4
nyari,4
好听,4
h,4
土土,4
芖,4
开心,3
南,3
男,3
九条,3
想,3
耶,3
抱歉,3
自由,3
日后,3
太草,3
锯子,3
合法,3
虚拟,3
刀,3
房管,3
可怜,3
猫,3
 ,3
好看,3
冲冲,3
青春,3
260,3
500,3
SimHei,3
生,2
giao,2
233,2
老师,2
呜呜,2
听,2
做,2
完,2
幺,2
开局,2
9s,2
追梦,2
梦想,2
www,2
家,2
一手,2
wwww,2
死,2
知识,2
强袭,2
确实,2
绝活,2
上当,2
成功,2
诚哥,2
厨房,2
妻,2
建议,2
玩,2
爱好者,2
hhhhh,2
欸,2
终于,2
真理,2
xs,2
真的,2
声音,2
感觉,2
朋友,2
新歌,2
