word,count
哈哈哈,2629
可爱,2263
啊啊啊,2156
 ,1744
哈哈哈哈,1163
awsl,968
太,924
草,842
好听,621
ocuto,613
死,422
爱,356
❤,320
呜呜,316
听,299
好好,276
笑,265
标准,251
中文,229
真的,195
喜欢,194
Ocuto,182
声音,165
唱,143
厉害,139
救命,120
章鱼,117
い,116
www,110
发音,104
阿伟,103
超,102
好棒,101
狂喜,99
双厨,95
卧槽,93
说,92
想,92
字正腔圆,89
新年快乐,89
•,83
wink,82
感觉,81
喵,77
ク,76
棒,75
ト,75
kksk,74
嘴,74
オ,73
温柔,73
草草,72
＼,71
梦,71
烫,70
盯上,70
好帅,69
日本,68
眼神,67
宝贝,62
あ,62
๑,62
热乎,60
我来,59
中国,58
耶,57
太棒了,57
真,57
沙雕,57
八桑,56
诶,55
地方,55
好家伙,54
虚拟,54
wsl,54
嗷嗷,53
灵魂,52
て,52
上头,51
up,51
整活,50
wwww,50
な,50
妈妈,49
太草,49
心疼,49
亿遍,48
️,48
っ,47
哭,47
不错,47
ww,46
腔,46
这是,46
ω,45
天,45
噢,45
歪,45
脸红,44
虎牙,44
