word,count
 ,216
七七,44
な,33
の,33
が,33
た,22
私,22
で,22
と,22
い,22
可爱,21
好听,21
听,18
超,16
爱,13
火钳,13
永远,12
7777777,11
弹幕,11
刘明,11
あ,11
指先,11
电,11
気,11
光学,11
は,11
人生,11
変,11
わ,11
っ,11
こ,11
う,11
信念,11
す,11
电磁,11
铳,11
だ,11
け,11
に,11
続,11
く,11
77777777,10
风,9
信仰,8
真的,7
厉害,7
77777,7
写,7
支持,7
此生,7
烈日当空,6
歌词,6
宝藏,6
元,6
我来,6
喜欢,6
不错,6
好看,6
指尖,6
跃动,6
电光,6
唯,6
永世长存,6
这是,5
撼,5
太,5
主,5
下次,5
777777,5
77,5
说,5
电磁炮,5
夏雨雨人,4
阑风伏雨,4
四时八节,4
百,4
川,4
问,4
东,4
西,4
表白,4
rap,4
生日快乐,4
华,4
乐,4
领,4
胡,4
作业,4
报道,4
想,4
视频,4
做,4
旋律,4
←,4
助理,4
味道,4
加油,4
热乎,4
直播,4
声音,4
