word,count
 ,5051
awsl,2634
啊啊啊,1947
骂,1397
哈哈哈,1212
草,1086
老婆,1073
爱,704
耶,653
哈哈哈哈,566
卧槽,546
汪汪,477
喜欢,458
好像,453
想,452
不愧,450
恳求,433
死,411
好好,396
说,389
请,338
走,326
做,324
吃,315
博士,313
热乎,311
可爱,311
汪,297
西,295
听,294
阿伟,293
四月,273
真的,269
太,263
笑,261
声音,261
妈妈,249
兴奋,244
卡蒂,234
孝心,234
黑子,228
我要,223
龙门,223
蟠桃,220
哒,209
doge,206
桃子,204
感觉,203
w,200
许愿,199
扶桑,196
危,196
扶,196
西哟,195
变质,195
大会,192
耳机,192
务必,191
心脏,189
陈,182
还愿,175
蓝毒,174
下次,171
W,170
斯,166
睡,164
呦,164
妈,159
扶宝,159
真,158
DNA,154
天下第一,152
回来,149
吉言,149
分钟,147
脸红,143
献上,142
兄弟,141
拉,139
排面,137
屑,136
声线,135
门牙,134
up,132
大木,132
不行,132
永远,131
 ,131
凯尔,131
FBI,130
狗头,129
点,128
直播间,128
为斯,128
02,127
姐姐,125
牛,124
一点,123
活着,122
动,121
