word,count
 ,118
草,60
凉宝,59
好听,54
⏝,50
哈哈哈,42
可爱,40
耶,36
早凉,32
awsl,31
哈哈哈哈,29
阿巴,28
⎛,25
⎝,25
≥,25
≤,25
⎠,25
⎞,25
▂,24
爱,23
▃,16
▄,16
▅,16
听,14
生日快乐,14
▽,13
喜欢,12
太,11
诈骗,10
声音,10
‵,10
′,10
网络,9
猫猫,9
凉,9
凉糖,9
笑,8
诶,8
感觉,8
阿凉,8
好爽,8
▆,8
新型,7
好家伙,7
死,7
吃,7
＼,7
猫,6
这是,6
第一,6
好好,6
•,6
谨防,5
屑,5
钱,5
老板,5
确实,5
棒,5
三连,5
suki,5
骂,5
踩,5
❤,5
坏,4
请,4
雷击,4
熟练,4
沉默,4
破防,4
帮主,4
夫人,4
说,4
想,4
jpg,4
一遍,4
警告,4
钉,4
真,4
太棒了,4
承包,4
火钳,4
刘明,4
kksk,4
啊啊啊,4
蚌埠,4
住,4
前方,4
游戏,4
⊙,4
赞,4
超,4
꧁,4
꧂,4
心思,3
只能,3
doge,3
糊涂,3
全,3
开幕,3
下次,3
