word,count
草,2151
 ,766
哈哈哈,322
小姐,168
早,155
哈哈哈哈,140
可爱,99
太,94
www,80
耶,78
专业,66
awsl,61
风评,61
真的,60
笑,56
好家伙,55
草草,54
hso,53
说,51
吃,49
开幕,45
学,43
被害,43
不愧,42
懂,42
猫,42
kksk,42
危,42
雷击,40
这是,40
死,40
阿巴,40
感觉,39
wwww,38
确实,38
い,37
刀,37
骂,37
声优,36
离谱,35
真,35
DD,35
吨,35
喝,34
声音,34
鱼,34
喜欢,34
2333,33
女神,33
想,33
做,32
土,31
佬,30
同传,30
高,29
太草,29
笑声,29
弹幕,29
黄酒,29
好像,28
东西,28
厉害,28
忍,28
魔,28
听,27
wwwww,27
土土,27
害怕,27
痛快,26
请,26
好听,25
手,25
游戏,25
陈,25
安倍,25
w,24
噔,24
斩首,24
鲷哥,24
字幕组,23
中文,23
挺,22
车速,22
牙白,22
还行,21
啊啊啊,21
谢谢,21
绍兴酒,21
史莱姆,21
中国,20
日本,20
翻译,20
dd,20
ん,20
whl,20
玩,19
黄油,19
奇怪,19
地狱,19
朋友,19
