word,count
 ,3391
哈哈哈,2583
草,2332
哈哈哈哈,1137
叽叽,582
薅,551
可爱,514
叽毛,503
笑,404
恶魔,248
爱,239
傻子,233
说,215
三连,195
好听,192
好家伙,186
吃,181
呦,177
叽,171
hso,167
太,165
一键,165
awsl,157
哭,156
死,154
确实,147
真的,145
万,144
傻,142
kksk,135
doge,131
草草,130
耶,126
喜欢,121
危,119
孩子,117
想,115
啊啊啊,115
开心,111
诈骗,109
网络,107
完,104
真,103
新型,103
团长,102
懂,101
披萨,100
mua,100
早稻,97
现场,95
做,92
嗝,92
下次,85
叔叔,84
点,83
噔,83
漏网之鱼,81
弹幕,78
泪目,78
憨,77
义务教育,77
贴,76
害怕,75
光头,74
老板,72
分钟,71
听,70
生日快乐,69
ん,68
文化,68
狂喜,66
男,66
取关,65
里,65
这是,64
热乎,61
不愧,58
感觉,57
妈妈,57
关注,56
开幕,55
明抢,55
骂,55
い,54
猫,53
满满,53
屑,52
老婆,52
挺,52
安详,51
DD,51
舰长,51
中,50
声音,50
骗,50
前方,50
w,50
雷击,49
拍,49
咩,48
