word,count
 ,7920
い,4104
ｗ,3902
www,3808
rinrin,2794
晚上,2317
ん,2283
w,2208
草,1891
な,1877
た,1815
っ,1783
か,1713
う,1666
nice,1605
て,1425
の,1405
加油,1370
し,1361
る,1357
ww,1321
は,1246
に,1242
す,1232
り,1228
￣,1221
で,1209
谢谢,1178
ま,1028
rin,978
ね,883
だ,878
晚安,843
可爱,836
こ,829
玩,816
ー,787
ら,777
と,769
ン,754
お,729
吃,718
も,714
が,708
ゃ,656
よ,644
wwww,638
铃铃,626
れ,619
ち,615
そ,605
死,586
イ,557
确实,536
真的,533
ス,532
や,520
え,504
想,502
健康,499
あ,496
き,495
▽,493
老板,492
感觉,486
く,468
わ,466
大气,462
太,434
说,425
回来,424
°,424
游戏,423
喜欢,409
赢,401
け,396
み,386
残酷,375
リ,371
ど,365
ば,355
を,349
じ,348
杀,313
さ,312
ナ,312
没事,301
左岸,299
黑暗,296
∀,292
ト,289
喵,289
民,285
べ,283
め,272
好像,271
ラ,261
桑,256
ル,252
耶,251
