word,count
草,3187
 ,2592
30,721
可爱,434
哈哈哈,357
の,233
太,226
0.8,220
が,215
n,210
泪目,189
awsl,184
500,175
0.05,166
帕里,148
愛馬,148
ー,146
女王,144
SimHei,137
哈哈哈哈,128
kksk,126
0.1,126
好人,117
冥界,114
0.11,102
www,100
冲击,99
1.5,98
噔,96
0.25,88
害怕,81
小鬼,79
笑,78
AA,76
哭,74
贴,73
hso,72
死,70
￣,70
孩子,69
说,68
真的,65
suki,64
030,63
い,62
真,61
喜欢,59
ん,58
整活,57
イ,57
ミ,56
レ,56
色,55
mua,52
弹幕,51
新宋体,51
懂,50
wwww,48
bgm,48
草草,46
吃,46
0.3,46
耶,44
900,44
好活,43
想,41
BGM,41
谢谢,41
东京,41
高,40
图,40
重庆,40
宝,39
赢,39
啊啊啊,39
nano,39
爱,38
危,37
确实,37
屑,37
妈妈,36
咪蕾,36
ww,34
2333,34
太阳神,34
开幕,33
睡觉,33
4.5,33
惨,32
好家伙,32
微软,32
雅黑,32
洗澡,32
太草,31
香香,31
做,30
里,30
kawaii,30
玩,29
wwwww,29
