word,count
hana,322
可爱,104
 ,78
awsl,42
草,22
爱,22
兔兔,21
耶,18
太,18
加油,16
兔,15
单推,13
兔子,13
Ｏ,12
推,12
声音,9
i,9
≧,8
≦,8
承包,8
见证,8
历史,8
リ,7
ア,7
▽,6
卡哇伊,6
真的,6
真,6
kksk,6
www,6
啊啊啊,5
好听,5
hso,5
DD,5
新,5
说,5
空屏,5
天天,5
恭喜,4
๑,4
拜拜,4
耳机,4
老婆,4
听,4
suki,4
小心,4
老粉,4
还行,4
wwww,4
哈哈哈,4
期待,3
结婚,3
jpg,3
愛,3
疯,3
非,3
翻译,3
太好了,3
い,3
る,3
胸,3
耳朵,3
∇,3
宝藏,3
噢,3
遇见,3
不请自来,3
D,3
孩子,3
抽到,3
弹幕,3
开幕,3
雷击,3
感觉,3
修哇,2
ฅ,2
wwwwww,2
现场,2
静止,2
画面,2
舒服,2
聽,2
聲音,2
•,2
早上,2
斯,2
し,2
兔女郎,2
咖啡店,2
doge,2
中文,2
前,2
系,2
贴,2
珍惜,2
死,2
辽,2
ohhhhhhhhh,2
走,2
睡,2
