word,count
鼠标,50
耶,34
哈哈哈,31
兮兮,27
月,27
 ,21
草,18
搓澡,12
球,11
球宝,9
接受,8
听,7
联合,7
阳寿,6
药丸,6
感觉,6
好家伙,5
好听,5
龙,4
哈哈哈哈,4
永远,4
冲冲,4
doge,4
懂,4
温馨,4
提示,4
年,4
男,4
钢板,3
爱,3
真,3
角色,3
anti,3
单推,3
佬,3
女儿,3
呆,3
弹幕,3
说,3
唱,3
开幕,3
东方,3
切片,3
狗头,3
剩,3
版本,3
乳,3
踢,3
出群,3
太,3
弱小,3
大声,2
满满的,2
awsl,2
祥瑞,2
游戏,2
双黄,2
新,2
可爱,2
hso,2
哦哦哦,2
笑场,2
DD,2
松鼠,2
想,2
冰火,2
正片,2
现场,2
yyds,2
原谅,2
真好,2
bgm,2
仓鼠,2
传统,2
艺能,2
掉,2
幼,2
肹,2
声音,2
美声,2
老父亲,2
那种,2
唱歌,2
死,2
不好,2
全是,2
感情,2
东西,2
泪目,2
迫害,2
雷击,2
发现,2
扇宝,2
扇,2
成功,2
分钟,2
​,2
50,2
穿,2
裙子,2
