word,count
吸吸,6269
 ,6122
哈哈哈,3286
歪,1635
哈哈哈哈,1512
吸,1351
抽,905
不对劲,637
保底,614
进度条,519
谢谢,499
42,497
凯尔,488
笑,475
草,456
老板,449
嘲笑,436
送葬,425
啊啊啊,406
海猫,377
希,365
真的,361
月,351
不亏,351
死,343
两个,342
五星,339
跑,326
说,315
氪,310
发,308
doge,291
池子,290
闪击,275
赶来,274
呜呜,267
卡蒂,267
太,258
快乐,256
疯女人,255
异客,251
六星,245
紫霞,244
仙子,242
生日快乐,242
限定,241
好家伙,237
鲨,234
离谱,231
想要,230
接受,230
泥岩,228
儿童节,225
空夜,224
新,221
陌生人,220
三个,217
姐,217
游戏,213
买,212
满潜,212
效果,212
一发,211
发出,209
山,208
搅动,206
皮肤,201
夕,201
女人,199
毕业,199
嵯峨,197
老婆,195
真,193
节目,192
干员,191
年,190
想,188
up,185
心,184
月宝,178
军费,177
不愧,176
可爱,175
感觉,173
斯,172
科学,167
简单,167
长,163
抽出,162
哭,161
技能,158
棘刺,157
抽到,154
前方,152
确实,151
养猪,150
完,148
耶,147
吃,147
潜,146
