word,count
好听,57
草,56
 ,38
有加,34
加加,21
太,16
再来,14
亿遍,14
加宝,11
开口,11
跪,11
爱,9
+++++++++,8
听,8
呜呜,7
声音,7
好好,7
加,6
喜欢,6
不愧,6
渣,6
感觉,6
噗,6
棒,6
++++++++++++,6
+++++++++++++,6
可爱,5
普拉斯,5
哈哈哈哈,5
烟花,5
kksk,5
金轮,5
suki,5
++++++++++,5
+++++++++++,5
plus,4
雌兔眼,4
迷离,4
马,4
老师,4
就长,4
真的,4
唱,4
好棒,4
耳机,4
tql,4
啾,4
真实,3
好帅,3
++++++++++++++++++,3
哈哈哈,3
hso,3
抢,3
挺,3
卧槽,3
疯,3
说,3
厉害,3
++++++++,3
好看,3
pv,3
++++++++++++++,3
+++++++,3
+++++++++++++++++++,3
+++++++++++++++,3
惊艳,3
加油,3
兔,2
社畜,2
谢谢,2
++++++++++++++++++++++++,2
土,2
23333,2
内味,2
聪明,2
样子,2
掉,2
i,2
嗨,2
太土,2
沙雕,2
www,2
2333,2
老板,2
确实,2
回答,2
耳朵,2
斯,2
土到,2
骂,2
口水,2
做,2
梦幻,2
看管,2
こ,2
暂停,2
成功,2
扑朔,2
原样,2
肌肉,2
