word,count
 ,676
纯姐,572
好听,467
哈哈哈,406
awsl,144
哈哈哈哈,138
草,137
美,116
害怕,97
笑,72
泪目,63
笑声,59
妈妈,51
听,47
爱,41
死,41
✨,40
太,36
❓,34
阿伟,34
天下第一,33
纯哥,32
想,32
男,32
真实,31
女装,31
高,31
说,30
厉害,30
666,30
很大,29
啊啊啊,28
强,27
i,27
喵,27
纯姐赛,27
nb,26
走,26
原版,26
杠铃,24
可爱,24
木糖,23
DD,23
大木,23
牛,22
喜欢,22
贴,22
好吃,22
赫萝,21
雷击,21
开幕,21
还行,20
吃,20
这是,20
感觉,20
骗,20
狗头,19
热乎,19
游戏,19
老师,18
投币,18
配音,17
hhhhh,17
收藏,17
寡妇,17
卧槽,16
完,16
声音,16
dd,16
加油,16
好像,16
驴,16
纯妈,16
真,15
鬼,15
逼,15
真的,15
太棒了,15
牺牲,15
玩,15
上天,15
挺,14
23333,14
推纯姐,14
好好,14
NB,14
弹幕,14
欧拉,14
高考,14
爱情,13
不愧,13
2333,13
我要,13
亿遍,13
6666,13
孜然,13
抱,13
桃子,12
魔鬼,12
再来,12
