word,count
 ,1962
技能,755
哈哈哈,315
黑猫,245
猫猫,231
死,231
夕,220
高,211
开局,211
异客,208
抽,203
说,203
秒,193
42,185
推王,179
干员,178
伤害,177
火龙,174
哈哈哈哈,167
笑,154
小羊,146
热乎,142
懂,141
吃,132
强,130
远山,129
doge,127
太,125
先锋,124
输出,123
凯尔,122
两个,117
嵯峨,115
真的,114
攻击,114
近卫,113
感觉,108
银灰,107
草,106
风笛,105
拐,103
好家伙,101
天使,100
限定,96
加,96
六星,96
耶,95
挡,94
泥岩,93
w,92
真,91
拉,90
bgm,90
放,89
希,88
狂喜,87
火山,86
离谱,84
想,83
开,83
迷迭香,80
玩,78
配合,77
棘刺,77
群法,76
煌,75
这是,74
跑,71
黑,70
海猫,70
杀,70
游戏,69
方舟,68
级,68
W,67
无敌,67
不用,67
莫斯,67
低,66
boss,66
星熊,66
分钟,65
专三,65
天赋,63
换,62
山,62
不到,62
爆发,62
点,62
回转,62
终于,61
确实,61
年,61
群攻,61
阻挡,61
攻速,60
高台,60
好像,57
斩,57
提马,57
