word,count
蹦蹦,95
啾,94
lovelove,82
青空,68
♡,64
dokidoki,41
可爱,34
 ,28
ラ,24
ブ,24
魔法,23
 ,22
h,22
老师,21
啊啊啊,18
太,15
爱,15
awsl,13
ド,12
キ,12
说,11
这是,10
学到,10
跪,9
喜欢,9
bgm,7
太强,6
想,6
弹幕,6
tql,6
真的,6
希望,6
我画,5
完,5
感觉,5
画,5
好看,5
细节,5
死,5
暖暖的,5
声音,5
画风,5
sai2,5
右下角,4
发生,4
哈哈哈哈,4
哈哈哈,4
真,4
i,4
BGM,4
脱衣,4
前方,4
鬼畜,4
⊙,4
ﾟ,4
更好,4
暖,4
贴,4
东西,3
套索,3
倍速,3
前排,3
天,3
2333,3
sai,3
草,3
好好,3
承包,3
高能,3
眼睛,3
社长,3
歌单,3
钢笔,3
2333333,3
呜呜,3
▽,3
真心,3
旋律,3
眉毛,3
嗒,3
回报,3
好听,3
第一条,3
爱爱爱,3
外套,3
时间,3
选区,2
太棒了,2
表白,2
画画,2
表情,2
好色,2
帅,2
红,2
图层,2
背景,2
好像,2
o,2
空屏,2
游戏,2
