word,count
 ,108
草,100
♢,62
•,62
哈哈哈,28
い,22
可爱,18
笑,15
　,15
哈哈哈哈,14
イ,14
死,13
啊啊啊,13
好帅,13
に,12
ー,11
好听,10
な,10
て,10
ン,9
ト,9
「,8
kksk,8
side,8
の,8
サ,8
ド,8
呜呜,7
耶,7
た,7
し,7
你好,6
听,6
願,6
太,5
说,5
想,5
伸出,5
日子,5
里,5
想要,5
帅,5
唱,5
め,5
無,5
お,5
う,5
ニ,5
桃宝,4
笑容,4
诶,4
声音,4
跑,4
这首,4
bgm,4
好好,4
爱,4
卡,4
桃星,4
Left,4
Right,4
獠牙,4
つ,4
ダ,4
く,4
ッ,4
许下,4
愿望,4
レ,4
フ,4
ラ,4
歯,4
を,4
き,4
も,4
Warning,4
ワ,4
グ,4
空降,3
00,3
40,3
宝,3
像是,3
溶化,3
疲惫,3
讨厌,3
救命,3
草草,3
弹幕,3
喜欢,3
手持,3
大爷,3
确实,3
片头,3
男,3
牛蛙,3
YOU,3
ARE,3
KING,3
思,3
