word,count
 ,529
ꎰ,300
好听,280
awsl,268
哈哈哈,267
爱,214
老婆,160
走,145
骂,139
哈哈哈哈,115
啊啊啊,112
袁老,104
声音,100
一路,96
圣人,95
好像,91
听,86
天,86
可爱,86
い,86
喜欢,85
我惠,85
中,81
惠,80
美如画,77
草,75
先有,73
太,67
感觉,66
真的,66
仙,65
想,65
笑,65
加藤,55
嫖,53
方式,53
字幕,49
害怕,49
弹幕,48
な,48
感谢,48
灵魂,47
君,47
说,47
永远,46
死,46
小姐,46
梦音,46
火钳,45
刘明,44
恳求,43
姐姐,43
日语,43
up,42
开口,42
失败,42
も,42
做,41
忍,38
诶,37
跪,37
て,37
卧槽,36
爷爷,36
哭,35
厉害,35
翻译,35
好好,34
真,34
发现,34
の,34
i,32
し,32
请,32
宝藏,32
袁,32
る,31
耶,31
牛,31
你币,31
太像,30
内味,29
挺,29
と,29
天堂,29
唱,28
不错,28
三连,28
忍忍,28
写,27
ら,27
香菜,26
だ,26
温柔,26
た,26
谢谢,26
dio,26
这是,25
声线,25
で,24
