word,count
 ,72
哈哈哈,46
魔界,29
哈哈哈哈,24
刻晴,15
橘子,14
这是,13
草,13
剑法,12
屁斜,10
变身,9
二觉,9
假,9
武器,8
托斯,8
晴,8
温迪,8
正事,7
角色,7
笑,7
可莉,7
10,7
lsp,7
耶,6
说,6
BGM,6
钟离,6
头,6
大头,6
点,6
右边,6
好看,5
完,5
一觉,5
真,5
感觉,5
刻,5
老婆,5
分,5
剑,5
东西,4
不对劲,4
抱歉,4
好听,4
可爱,4
诶,4
身,4
三觉,4
变,4
雪人,4
衣服,4
挺,4
标题,4
战法,4
头发,4
做,4
干,4
完全一致,4
死,4
游戏,4
帅,4
队友,4
红昭愿,4
莫娜,4
吸吸,3
喵,3
金,3
吃,3
伤害,3
成,3
套,3
像素,3
黑,3
斗萝,3
伊斯塔,3
胸,3
伊拉克,3
UP,3
飞比,3
跑,3
温蒂,3
玩,3
天下第一,3
龙脑,3
2333,3
略知一二,3
声音,3
五星,3
凝光,3
合适,3
联机,3
太,3
装,3
里,3
党,3
女,3
好家伙,3
反,3
想要,3
逼,2
