word,count
草,63
 ,63
球宝,21
哈哈哈,17
doge,16
开幕,14
雷击,14
哈哈哈哈,11
害怕,10
可爱,9
恶魔,9
球,9
笑,8
死,8
好家伙,8
毬,8
骂,7
复活,7
吸吸,7
秃秃,7
玩,6
格里,5
好活,5
片头,5
真,5
真实,5
牛,5
说,5
喜欢,5
哭,5
别骂,5
太,4
天使,4
摔死,4
FF14,4
推,4
游戏,4
球球,4
hso,4
走,4
深渊,4
114,4
粤语,4
隔离,4
按摩,4
狂徒,4
好好,4
下水道,4
猎,4
神,3
转,3
极乐,3
堡,3
丢人,3
恩,3
闪现,3
虚弱,3
不对劲,3
没想到,3
角,3
ᵎ,3
狗,3
高,3
工地,3
处刑,3
好听,3
悲,3
这是,3
耶,3
挺,3
山,3
整活,3
接地,3
憨,3
逼,3
大嘘,3
大师,3
514,3
感觉,3
冰,3
抱歉,3
方式,3
奶僧,3
生存,3
兽王,3
刀,3
dd,2
该死,2
情商,2
山樱枝白,2
火法,2
灵魂,2
墓地,2
2333,2
猪,2
设计师,2
有人,2
˶,2
꒳,2
背,2
