word,count
 ,117
泡泡,86
可爱,82
哈哈哈,75
呱,32
草,27
说,23
哈哈哈哈,23
现场,21
声音,20
耶,18
◢,18
◤,18
笑,17
听,17
太,15
猝不及防,14
死,12
离谱,11
吸吸,10
聪明,10
跳,10
拉,9
马,9
想,9
好听,9
挂,9
枪,8
真的,8
游戏,8
卧槽,8
开,8
kksk,8
懂,8
爱,8
awsl,8
血压,7
传家宝,7
呜呜,7
舒服,7
熊,7
憨,7
笑声,7
吸,7
强,6
队友,6
玩,6
这是,6
感觉,6
好家伙,6
中,6
东西,6
恶心,6
谢谢,6
芜湖,6
号,6
评论,6
没药,6
天使,6
蛆,6
嘀咕,5
真,5
关,5
喷火,5
加油,5
泪目,5
学到,5
超级,5
骂,5
调,5
dpi,5
g502,5
鬼,5
弹幕,5
心疼,5
嗲,5
逆天,5
肯定,5
厉害,5
不好,5
帮手,5
步,5
升华,5
音量,5
加速,5
几遍,4
し,4
一枪,4
子弹,4
doge,4
画质,4
恐,4
怖,4
喷,4
火,4
跑,4
卡哇伊,4
直布罗陀,4
请,4
喜欢,4
