word,count
葵,1060
 ,293
可爱,203
＼,191
い,152
瓜,139
草,138
阿葵,132
￣,108
www,104
哈哈哈,99
ん,92
耶,79
晚上,79
し,72
か,66
好听,63
°,62
お,57
こ,57
哈哈哈哈,56
∀,52
直播,50
蟹,50
噢,47
ー,46
太,45
の,45
老板,45
わ,44
说,44
吃,42
大气,42
ｗ,41
8888888,40
歌,40
み,40
水瓜葵,40
･,38
る,38
感觉,38
ば,38
イ,38
wwww,38
▽,37
す,37
听,37
ww,36
ず,35
〜,35
で,34
ﾉ,34
想,33
w,32
た,31
は,31
あ,31
喜欢,31
名字,29
爱,29
声音,29
wwwww,28
ス,28
唱,27
っ,27
な,27
混沌,26
う,25
カ,25
桑,24
kksk,24
喵,24
中国,23
88888888,23
烫,23
り,23
ン,22
ま,22
好像,22
よ,22
AOI,22
谢谢,21
嘴,21
呜呜,20
请,20
x,20
死,20
て,19
真,19
念,18
き,18
⌒,18
と,18
点,18
888888,18
b,18
啊啊啊,18
笑,18
え,17
好好,16
