word,count
 ,859
草,510
耶,196
哈哈哈,190
hso,152
可爱,125
taffy,108
哈哈哈哈,100
cfm,100
妈,63
我妈,62
不愧,60
说,60
很涩,57
影,48
黑,43
妈妈,43
死,42
塔菲,42
懂,41
经典,41
初见,41
侦探,40
声音,40
高,39
好帅,38
怪盗,37
伤害,35
好家伙,32
笑,32
毛,32
doge,31
动,31
kksk,30
盗,30
单推,30
吃,29
确实,29
想,29
啊啊啊,29
药水,29
指,28
重生,28
太,27
游标卡尺,27
结婚,27
帕里,26
涩,26
里,25
粉色,25
级,24
清,24
熟悉,24
薯条,23
楚,23
王牌,22
jpg,21
真,21
知,21
DNA,21
超管,21
听,20
感觉,20
喜欢,20
钢板,20
臭粉,20
真的,19
记得,19
司机,19
发明家,18
做,18
老本行,18
确信,18
出租车,18
狗,17
弹幕,17
转生,17
厉害,17
变,16
字幕,16
回来,16
汪,16
很色,16
绕路,16
翻译机,16
666,16
毕生,16
所学,16
电脑配件,16
这是,15
愚蠢,15
塔宝,15
汪汪,15
爱心,15
完,15
肚子,15
xian,15
awsl,15
色,15
亲妈,15
