word,count
 ,206
哈哈哈,178
草,139
惠惠,82
日语,67
哈哈哈哈,53
君,33
手,31
散装,28
本当,26
可爱,24
awsl,20
大佐,20
中日,20
抢,19
语,18
日本语,18
笑,18
爱,17
不到,17
听懂,14
に,14
死,14
好听,13
耶,13
好活,12
太,12
の,12
说,12
方式,12
日本,11
kksk,11
ま,11
女朋友,10
真实,10
噔,10
抱歉,10
协和,9
级别,9
语言,9
工地,9
裂开,9
开幕,9
雷击,9
好家伙,8
狒狒,8
加减,8
生日快乐,8
滴,7
真的,7
味太冲,7
笑声,7
哭,6
上头,6
中文,6
协,6
語,6
听,6
草草,6
233,6
骂,6
吃,6
23333,6
欧拉,6
甩,6
可别,6
发飙,5
超越,5
离谱,5
中,5
日,5
儞,5
で,5
す,5
合拍,5
一遍,5
真,5
懂,5
2333,5
小莹,5
开,5
大木,5
话,5
缝合,5
AWSL,4
开口,4
双语,4
听得懂,4
韩语,4
揍,4
混合,4
噗,4
买,4
N1,4
亿遍,4
每日,4
太草,4
跑,4
傻,4
字幕,4
