word,count
草,837
哈哈哈,697
 ,420
哈哈哈哈,260
专业,103
hxd,69
saya,66
太,62
草草,56
笑,55
死,53
开幕,50
雷击,49
回来,42
hso,38
泪目,36
麻,33
危,33
懂,32
兄弟,31
东北,30
吃,25
味儿,25
好活,25
啊啊啊,23
不对劲,22
确实,21
说,21
好听,21
内味,19
谢谢,19
SAYA,19
郭德纲,18
太好了,18
kksk,18
爱,18
tbbt,18
听,17
真,17
真的,16
声音,16
太冲,16
真实,16
yaya,16
击剑,16
味,15
挺,15
混响,15
可爱,14
太强,14
强,14
流向,14
ん,14
越,14
想,13
bgm,12
好家伙,12
天使,12
23333,12
改变,12
贴,12
澡堂,12
　,12
完,11
厉害,11
好像,11
这是,11
太草,11
味太冲,11
开,11
搓,11
味道,10
唱,10
感觉,10
不行,10
呜呜,10
tql,10
不愧,9
里,9
走,9
捧哏,9
解释,9
牛,8
原唱,8
弹幕,8
喜欢,8
离谱,8
whl,8
哭,8
誰,8
全,8
妈妈,8
な,8
甘城,8
啧,8
妈,7
害怕,7
虚拟,7
二人转,7
亿遍,7
