word,count
草,12
 ,9
哈哈哈哈,5
生殖隔离,4
太,3
❓,3
开幕,3
kksk,2
太近,2
哈哈哈,2
说话,2
草草,2
噔,2
奇怪,2
区分,2
物种,2
hso,2
悲风,2
雷击,2
怪话,2
骂,2
憨,2
角,1
枕头,1
扎破,1
嘶,1
灵魂,1
问句,1
名称,1
和谐,1
速度,1
太慢,1
能破角,1
外卖,1
注關,1
點會,1
D,1
大夠,1
菜播,1
gachi,1
距离,1
冰激凌,1
5%,1
憨气,1
溢出,1
如日,1
牛顿,1
掀开,1
棺材板,1
切片,1
就行,1
瞄准,1
射击,1
一气呵成,1
233333,1
2333,1
可爱,1
可惜,1
耻辱,1
下播,1
危,1
吃,1
播,1
现,1
场,1
没见,1
休假,1
十天,1
furry,1
有理有据,1
论证,1
严谨,1
逻辑,1
鬼才,1
染色体,1
少壮,1
努力,1
哪位,1
生物学,1
中,1
原则,1
常人,1
可育,1
后代,1
明目张胆,1
艾滋,1
好像,1
印度,1
想,1
猩猩,1
不行,1
同道中人,1
关注,1
开口,1
黄色,1
带师,1
混炖,1
没事,1
扮演,1
猫,1
