word,count
方式,73
抱歉,58
哈哈哈哈,18
草,14
笑,11
 ,9
可爱,8
屁股,7
哭,7
树上,6
哈哈哈,6
ww,5
没事,4
摔,4
死,4
d,4
不疼,3
安详,3
单推,3
开心,2
这是,2
揉,2
摸摸头,2
荣幸,2
傻,2
✪,2
走,2
建议,2
两米,2
本来,2
女人,2
没救,2
耶,2
终于,2
加油,2
dd,2
推,2
新,2
真可怜,1
容,1
偷偷,1
一会,1
听,1
很想,1
摔成,1
床太高,1
QAQ,1
碳基,1
生物,1
理解能力,1
噗,1
失足,1
少女,1
哄人,1
形式,1
非常高兴,1
醒来,1
很难,1
地板,1
砸坏,1
bushi,1
遗憾,1
希望,1
hhhh,1
孩子,1
站,1
仪式,1
感,1
量子,1
级,1
理解力,1
▽,1
爱,1
脑袋,1
我以,1
昏死过去,1
这年头,1
人滚,1
下床,1
哭大点,1
声,1
多吃点,1
饭,1
这床,1
二楼,1
兴奋,1
真要,1
买个,1
婴儿床,1
说,1
忍住,1
声音,1
感觉,1
好像,1
真的,1
师爷,1
委屈,1
床加个,1
扶手,1
doge,1
