word,count
好听,10
可爱,7
生日快乐,5
太,4
天琪,3
哈哈哈,3
爱,2
温柔,2
单推,2
喜欢,2
kksk,2
孩子,2
我红,2
77,2
哈哈哈哈,2
草,2
 ,2
卧槽,1
听到,1
名字,1
口,1
胡,1
呜呜,1
awsl,1
转眼,1
10,1
年,1
插眼,1
买,1
家,1
产品,1
........,1
三连,1
学,1
害怕,1
prprprprpr,1
当看,1
板娘,1
要学,1
日语,1
唱歌,1
好强,1
马上传,1
完,1
suki,1
转场,1
阴间,1
hhh,1
全程,1
闭眼,1
hhhhhhh,1
hhhhhh,1
妖婆,1
粉丝,1
关闭,1
doge,1
飞,1
说机,1
说,1
文明,1
机,1
掉头就跑,1
还行,1
隔热板,1
扔,1
欸,1
玩儿,1
笑声,1
魔性,1
伤害,1
老丈,1
育,1
C,1
哪来,1
猩猩,1
可太,1
饱满,1
hhhhh,1
￼,1
字幕,1
233,1
一格,1
身高,1
一米,1
懂,1
问,1
奇怪,1
别看,1
老婆,1
没人,1
抱,1
走,1
贪吃,1
姬,1
第一,1
时间,1
赶来,1
填充,1
弹幕,1
P,1
