word,count
sora,36
Sora,36
 ,34
老师,31
可爱,20
草,20
哈哈哈,13
哈哈哈哈,12
想,10
强,9
太,7
真的,6
⬅,6
kwiii,5
好听,5
强强,5
耶,5
骑,5
啊啊啊,5
夜晚,5
感到,5
感觉,5
不错,4
姬子,4
阿姨,4
听,4
hso,4
哔哩,4
感谢,4
咬牙切齿,4
体验,4
kksk,4
泪,3
声音,3
有人,3
awsl,3
爱,3
好评,3
好家伙,3
停下来,3
男,3
疯,3
羞,3
耻,3
疼痛,3
程度,3
更好,3
不论是谁,3
心跳,3
说,3
感情,3
喜欢,3
歌力,3
好好看,3
玩,3
名叫,3
乙女,3
解剖,3
游戏吧,3
好好,3
动,2
kwiiii,2
加油,2
贴,2
回来,2
永远,2
弹幕,2
泪目,2
超,2
带感,2
好色,2
ohhhhhhhhh,2
妹妹,2
ohhhhhh,2
锁定,2
正片,2
站,2
翼,2
约尔,2
恭喜,2
道,2
咋子,2
i,2
饿鹅鹅鹅,2
饿鹅鹅鹅饿,2
出口,2
不想,2
活下去,2
名字,2
相互,2
呼唤,2
果,2
虚假,2
钱势,2
思念,2
狂气,2
效果,2
喵,2
真实,2
快乐,2
