word,count
 ,283
哈哈哈,220
草,113
害怕,110
哈哈哈哈,93
大佬,78
笑声,63
逼,63
笑,55
牛,53
魔鬼,50
刑天,49
囍,45
盒,42
流弊,40
泪目,36
九九,29
百草园,28
厉害,28
住手,27
真,26
黑蛋,26
啊啊啊,26
眼睛,25
这是,25
爱,25
服,25
测试,24
草牛,24
声音,23
死,23
卧槽,21
书翁,21
草爹,21
天,20
武器,19
喜欢,19
up,19
肝,19
a,17
真的,17
想,17
草草,17
萤草,17
nb,16
眯眯眼,15
六星,15
恭喜,14
好家伙,13
说,13
听,13
败家,13
太,12
狗头,11
老婆,11
离谱,11
100,11
70,11
阴间,10
doge,10
阿姨,10
可怕,10
吞吞,10
体服,10
视频,10
不行,10
请,9
开幕,9
做,9
眼罩,9
点,9
视角,9
哭,9
爹,9
叮,9
雷击,8
噩梦,8
眼,8
鸭子,8
头发,8
意义,8
简介,8
狼人,8
技能,8
三味书屋,8
太强,8
帮,7
刑,7
bgm,7
说话,7
吓人,7
前方,7
女,7
鬼,7
woc,7
区,7
无情,7
可爱,7
肝帝,7
庭院,7
