word,count
猫猫,220
 ,190
草,168
可爱,104
哈哈哈,68
哈哈哈哈,40
笑,26
耶,23
太,21
awsl,18
damedane,18
孩子,18
h,17
歪,17
www,16
噔,16
kksk,15
进度条,15
2333,15
感觉,14
心肺,14
表情,14
ッ,14
猫,13
抽,13
恭喜,13
开心,12
hso,12
真的,12
哭,12
厉害,11
ohhhhhhhh,11
bgm,11
真,11
玩,11
停止,11
吸吸,11
好家伙,11
死,11
42,11
两个,10
 ,10
危,10
W,10
视频,10
不亏,10
干员,9
ohhhhhhhhh,9
骤停,9
技能,9
水壶,9
好听,9
惨,9
H,9
小羊,8
还行,8
诶,8
离谱,8
星,8
说,8
放,8
确实,8
要来,8
太惨,8
抽到,7
跑,7
强,7
maomao,7
梗,7
点,7
心疼,7
震撼,7
震惊,7
233,7
新,7
不愧,7
热,7
希望,7
懂,7
腿,7
丈育,7
ohhhhhh,6
胜利,6
羊癫疯,6
合约,6
不对劲,6
火龙,6
鲨,6
昭和,6
听,6
重装,6
jpg,6
拉,6
啪,6
红,6
233333,6
想,6
贴,6
up,6
发动,6
