word,count
可爱,249
猫雷,202
 ,106
绷,77
不住,74
捏,72
最强,59
住,45
草,43
蚌埠,41
Ｏ,30
老婆,29
烧,27
天才,26
喵,24
mua,23
呜呜,22
kksk,21
好听,21
▽,18
猫,17
雷,17
耶,16
嗨,16
๑,15
≧,15
≦,15
hso,14
♪,12
॑,12
新年快乐,11
哈哈哈,11
嚣张,10
说,10
爱,10
女流氓,10
翻译,9
这下,9
一把,9
弹幕,8
suki,8
卧槽,8
露,8
牛,7
真,7
小猫,7
太,7
摇摇,7
声音,7
手,7
滑,7
い,7
笑,7
抓住,7
⸜,6
꒳,6
⸝,6
✰,6
东西,6
想,6
bgm,6
死,6
2333,6
不错,6
目力,6
手上,6
这口,6
雷猫,6
⏝,6
懂,6
噔,6
女,6
听,5
字幕组,5
吃,5
单推,5
了不起,5
妇道,5
kiss,5
rsq,5
很难,5
确实,5
E,5
我用,5
MUA,5
标题,4
字幕,4
拉,4
傻,4
BGM,4
peko,4
i,4
nyaru,4
awsl,4
初见,4
走,4
感觉,4
完,4
小林,4
盘子,4
