word,count
草,760
哈哈哈,711
 ,499
哈哈哈哈,322
笑,110
卄,103
咩,61
啊啊啊,61
好家伙,56
预判,45
死,43
Ruki,43
吃,42
说,41
ruki,40
整活,39
好听,33
草草,31
栗,31
哭,30
太,28
爹,27
可爱,26
想,26
鸢,26
排异,24
呜呜,24
相声,24
耶,23
羊,23
大头,23
现场,22
hso,22
捧哏,22
噢,21
普通话,21
传统,20
真,19
ru,19
好活,18
睡,18
泪目,18
弹幕,17
崽,17
头,17
不愧,17
煲汤,17
超管,16
真的,16
玩,16
doge,15
确实,15
点,15
广东,15
老婆,15
狂喜,14
鹅,14
傻,14
接上,14
话,14
感觉,14
喜欢,14
卧槽,14
开心,14
天空,14
蔚蓝色,14
窗外,14
千纸鹤,14
憨,13
爱,13
身体,13
艺能,13
两个,13
hhh,13
听,13
不对劲,12
好像,12
不行,12
接头,12
懂,12
呜米,12
试试,12
事,12
阿巴,11
高速,11
直播间,11
鸟,11
一换,11
盒,11
hhhh,11
这是,11
分钟,11
害怕,11
诶,11
哦哦哦,11
冰糖,11
眼罩,11
awsl,10
反,10
接,10
