word,count
 ,207
草,122
哈哈哈,122
哈哈哈哈,65
可爱,51
可莉,37
龟,35
虾,31
龟龟,28
好听,18
648,18
布丁,17
不愧,14
真的,14
憨,14
挂,14
可莉害,14
吃,13
爱,12
真,12
新科,12
娘,12
明白,11
笑,11
厉害,10
点,10
太,10
这是,9
说,9
歪,9
假,9
耐克,9
骂,8
耶,8
doge,8
黑骑,8
确实,8
抽,8
想,8
性感,8
awsl,8
死,8
好好,8
啊啊啊,8
魔王,8
吼吼,8
好家伙,7
hso,7
离谱,7
老师,7
炸,7
玩,7
感觉,7
害怕,7
万子姐,7
填词,7
超级,7
三连,7
莉害,7
太草,6
2333,6
蛋,6
抽出,6
诶,6
风筝,6
妈妈,6
卡,6
田,6
不行,6
涩,6
鬼,6
懂,6
听,6
便宜,6
表情,6
成功,6
吨,6
引擎,6
审判,6
安,5
堂姐,5
233333,5
模型,5
快乐,5
诈骗,5
真实,5
好像,5
小时,5
相声,5
体验,5
衣服,5
狗头,5
跳,5
开幕,5
哭,5
嘶,5
押韵,5
打雷,5
没事,5
喝,5
