word,count
师姐,6237
笑,1353
死,1348
 ,707
好家伙,377
晓月,320
仓鼠,318
拜拜,297
哈哈哈,292
晚上,227
￣,171
想,141
哈哈哈哈,126
说,122
吃,122
玩,107
耶,106
hhh,106
金毛,99
草,95
听,90
好听,87
做,86
▽,84
天堂,83
感觉,83
师妹,83
走,78
阿巴,75
加班,74
游戏,72
住,72
呜呜,67
月,65
喜欢,64
下班,63
完,63
唱,62
这是,60
离谱,58
太,55
跑,52
°,52
可爱,51
懂,50
点,49
妈妈,49
白怜,48
直播,47
谢谢,47
好像,47
直播间,46
∀,46
声音,45
我要,44
麻,44
开,44
确实,44
睡,43
爱,43
请,43
吃饭,43
喝,42
摸,42
回来,41
hhhhhhh,41
早,40
jpg,40
言寺,40
ow,39
哒,39
真的,38
早上好,38
蚌埠,38
对面,38
画画,38
hhhhhhhh,38
卡祖笛,38
真,37
队友,37
舰长,36
⌒,36
泪目,36
画,36
上班,36
鲨,35
贴,35
yyds,35
好强,34
害怕,34
･,34
混沌,33
下播,33
两个,33
里,33
拉,33
疯,32
咩,32
job,32
小白怜,31
