word,count
 ,335
草,246
白桃,196
哈哈哈,163
可爱,66
哈哈哈哈,59
老婆,57
笑,46
awsl,46
苹果,46
好家伙,45
曹贼,41
好人,39
这是,37
西瓜,36
兔子,34
结婚,33
加油,26
樱桃,26
榴莲,26
弹幕,25
doge,24
噔,24
妹妹,24
死,23
更好,23
耶,22
说,22
火龙果,22
竟是,20
排除,20
好听,19
明明,19
桃子,19
香蕉,19
孩子,18
车厘子,18
蛇果,17
喜欢,15
少女,15
中,15
256,15
开幕,15
雷击,15
何异,15
爱,14
直播,14
下次,14
毛毛,14
兔,14
想,14
折寿,13
开心,13
♂,13
噗,13
恐怖,13
游戏,13
声音,12
丞相,12
抱,12
滑稽,11
走,11
害怕,11
真,11
耳朵,11
狂喜,11
还敢,11
诶,11
我悟,11
枕,11
听,10
二次元,10
啊啊啊,10
巧,10
不愧,10
白神,10
玩,10
哭,10
骂,10
帕里,10
果,10
握,10
真的,9
妈妈,9
抱歉,9
社死,9
太,9
危,9
男,9
水果,9
曹操,9
过节,9
屑,9
芒果,9
西红柿,9
手机,8
放,8
视频,8
毛,8
bgm,8
