word,count
小葵,357
い,283
 ,145
ん,124
加油,114
す,113
で,109
ゃ,106
し,103
お,100
っ,99
ち,96
晚上,94
あ,87
可爱,84
て,83
頑張,81
耶,80
な,80
よ,79
た,69
ｗ,68
か,65
る,61
は,57
れ,55
き,55
う,55
の,54
だ,53
哈哈哈,53
葵,50
喜欢,49
ね,48
ー,47
に,47
www,46
晚安,45
ら,45
イ,43
kksk,43
ま,42
￣,42
大丈夫,39
ン,39
が,37
辛苦,36
こ,36
谢谢,35
好听,33
想,32
も,32
残念,31
草,31
suki,30
队友,28
と,27
可愛,27
玩,27
ラ,26
を,25
wwww,25
く,24
ト,23
wwwww,23
り,22
可惜,22
nice,22
dd,22
哈哈哈哈,21
わ,21
み,20
歌,20
w,20
游戏,19
ス,19
kira,19
声音,18
☆,18
疲,18
様,18
さ,18
マ,18
°,18
aoi,18
卡宾枪,18
wwwwwwww,18
温柔,17
や,17
ゲ,17
▽,17
天使,17
诶,17
wwwwww,17
⌒,16
ご,16
啊啊啊,15
ク,15
ム,15
对不起,15
