word,count
 ,10074
哈哈哈,6075
草,2904
哈哈哈哈,2649
豹,1604
豹豹,1304
傻,1009
危,849
说,523
笑,522
海豹,500
awsl,422
¿,409
ㅤ,377
死,365
doge,356
现场,353
真的,352
开幕,342
钢板,324
好家伙,322
老师,317
急,298
雷击,294
妈妈,285
可爱,279
噔,263
想,257
懂,256
确实,251
图片,244
仅供参考,243
太,241
不愧,238
实物,236
男,235
为准,224
吃,218
傻子,216
完,215
真,214
傻豹,209
作业,207
写,206
听不见,201
后宫,186
直播,184
精神,184
做,175
孩子,172
我姐,171
啊啊啊,171
热乎,168
真实,163
骂,163
这是,161
请以,157
游戏,157
听,156
兲,152
下次,151
玩,150
诶,148
笨比,147
开心,143
声音,138
肚皮,134
哭,134
买,133
女儿,131
拍,130
经典,130
干,129
分钟,128
时间,126
猫,124
狗头,122
爱,122
第一,120
里,119
乳豹,118
杀,113
小时,112
疯,111
耶,111
白神遥,110
屑,110
还敢,109
嘲笑,107
走,107
不想,107
水,106
感觉,104
召唤,103
点,102
草草,102
文化,101
高,100
睡,100
胸,100
