word,count
草,2583
 ,1604
欧拉,555
哈哈哈,416
可爱,384
白菜,322
花音,266
帕里,217
哈哈哈哈,183
大木,167
ん,125
太,120
屑,118
か,115
の,113
kksk,111
再会,110
真,108
笑,107
手,98
说,95
哭,87
死,87
い,87
耶,84
想,82
精灵,81
单挑,78
真的,77
suki,76
回来,73
泪目,71
欠揍,71
加油,70
喜欢,67
吃,67
迷迭,67
确实,62
奇怪,61
www,57
攻击,57
血压,56
字幕组,55
噔,52
草草,52
经典,52
嗦,51
awsl,51
無,50
好家伙,49
噜,48
駄,47
危,46
好活,46
不愧,46
装甲,44
爱,43
感觉,42
做,42
好听,42
古守,42
直播,42
打断,42
错,42
弹幕,41
桑,41
唱,41
debu,40
要来,40
跳脸,39
o,38
跳,38
民,38
拳头,38
音,37
O,37
孩子,36
听,36
完,36
声音,36
太草,35
欠,35
这是,34
懂,34
冥冥,34
复刻,34
对线,34
劲夫,34
wwww,33
オ,33
ね,33
妹,32
洗,32
断,32
mua,32
日本,31
ラ,31
木,31
王,31
下次,30
