word,count
 ,460
up,113
哈哈哈,108
主,94
UP,73
乃希,64
2333,61
喜欢,58
叔,58
23333,57
233,57
小媳妇,54
声音,52
说,50
好萌,48
可爱,43
哈哈哈哈,42
啊啊啊,41
达子,41
2333333,39
死,39
想,38
←,38
233333,37
卧槽,37
太,34
www,34
B,32
233333333,32
　,31
L,31
爱,30
C,30
BGM,29
笑,29
w,28
阿婆,28
Gian,26
♂,26
gian,24
游戏,24
感觉,24
高能,24
酱,23
快快,23
Ivan,23
弹幕,22
草,22
好听,22
真的,22
QAQ,22
23333333,21
噗,21
好像,21
玩,20
听,19
左边,19
喵,18
奶昔,17
ω,17
够,17
「,16
线,16
you,16
23333333333,16
2333333333,16
hhh,15
q,15
Giulio,15
BE,15
▽,15
ww,15
桑,15
啪,15
完,14
好帅,14
•,14
lucky,14
君,14
辛苦,14
I,14
啪啪,14
赞,13
超,13
求,13
羞耻,13
´,13
这是,13
诶,13
节操,13
❤,13
终于,12
做,12
请,12
233333333333,12
T,12
cg,12
miki,12
H,12
主好萌,12
