word,count
赞,7
弹幕,4
 ,4
收藏,4
可爱,4
潼潼,4
听,3
名字,3
说,2
一模一样,2
笑,2
死,2
WARNING,2
标题,2
进,2
片尾,2
投币,2
大于,2
系列,2
棒棒,2
棒,2
内味,2
罪过,2
男,2
粉丝,2
UP,2
私藏,2
硬币,2
卡,2
开头,2
草,2
喜欢,2
UPUPUPUP,2
红红火火,2
恍恍惚惚,2
qwq,2
树妖,1
浇肥,1
确信,1
危,1
古代,1
兵器,1
生化,1
弓箭,1
施肥,1
懂,1
非战斗,1
人员,1
请,1
撤离,1
角,1
つ,1
の,1
c,1
233333,1
铁,1
锈,1
支援,1
喲,1
差点,1
忘记,1
没事,1
坐坐,1
全线,1
承包,1
迟,1
潼,1
妹妹,1
doge,1
ま,1
じ,1
第一,1
---,1
我来,1
我要,1
封面,1
前,1
100,1
助攻,1
果断,1
先来,1
占个,1
位,1
QwQ,1
好听,1
疼,1
说错,1
痛,1
laohening,1
上海,1
qiacu,1
呲,1
溜,1
yue,1
依酱,1
lol,1
大杀,1
四方,1
36,1
10,1
