word,count
 ,63232
妈,23810
awsl,11870
贴,10408
妈妈,6047
草,5414
耶,4355
kksk,3297
哈哈哈,2886
狗妈,2498
桃子,2445
な,2323
DD,2236
吃,1986
啊啊啊,1914
想,1840
危,1822
可爱,1776
狗,1736
dd,1424
爱,1363
乌拉,1338
弹幕,1272
斩首,1263
喜欢,1202
孝心,1200
哈哈哈哈,1173
说,1154
死,1116
变质,1066
ナ,949
高能,902
生日快乐,897
走,869
阿伟,801
抱,795
逆子,771
前方,757
太,743
狂喜,719
我来,716
承包,706
害怕,697
真的,667
请,651
↓,648
万,646
偷偷,644
真,637
崽,634
笑,630
狗狗,628
感觉,597
热乎,557
い,532
哔哩,521
蟠桃,519
奈奈,507
 ,506
好听,499
谢谢,499
做,497
我要,493
直播,491
玩,489
pien,472
゜,469
酸,456
噔,455
双厨,454
现场,451
七奈,451
恭喜,451
哥,451
干杯,449
の,446
←,444
听,443
字幕,441
doge,434
桃,434
大会,430
猫,429
好看,423
nana,422
完,415
滑稽,409
高,400
老婆,400
鬼,399
没人,396
吃桃,391
崽来,388
peach,387
w,384
表情,376
我妈,363
手,357
声音,356
强,349
