word,count
 ,527
草,417
哈哈哈,151
阿秋,108
哈哈哈哈,90
awsl,76
可爱,47
说,45
巫女,44
太,38
好家伙,36
确实,35
喵,35
kksk,35
开幕,31
笑,30
铁拳,30
雷击,30
懂,30
女人,28
死,27
秋凛子,26
兔子,26
豹豹,26
喜欢,25
秋,25
物理,24
耶,23
真的,22
妈妈,22
不愧,21
骂,20
善人,20
游戏,18
挺,17
男,17
doge,16
啊啊啊,16
噔,16
危,16
谢谢,16
100,16
真,16
声音,16
接受,16
吃,15
想,14
感觉,14
乳奈,14
岁,14
豹,14
离谱,13
玩,13
99,13
厉害,13
末日,13
¿,13
草草,12
理解,12
小时,12
哭,12
不行,12
不错,12
・,12
现场,12
做,11
你好,11
心,11
朋友,11
bgm,11
惨,11
强,11
拉,11
爱,11
whl,11
卧槽,11
强度,11
KMnO4,11
过来人,11
诶,10
无情,10
真实,10
23333,10
猫,10
高,10
运动,10
头发,10
听,9
震撼,9
道理,9
海豹,9
弹幕,9
奈奈,9
营业,9
声线,9
泪目,9
战神,9
2333,9
双,9
明白,9
