word,count
草,357
 ,292
哈哈哈,86
帕里,82
蝎子,52
老大哥,51
尾巴,45
迷迭,43
哈哈哈哈,33
好家伙,30
可爱,26
冰糖,25
憨,24
笑,22
遥遥,22
好听,20
耶,20
千年,20
吃,19
手,19
说,18
桑,18
蝎,17
瑶瑶,17
泡酒,16
喜欢,16
蝎蝎,16
声线,15
莎莎,15
小丑,15
草草,15
01,14
太,13
迫害,12
竟是,12
叔叔,12
kksk,11
爱,11
家,11
懂,11
断,11
脸红,11
D,10
聪明,10
这是,10
泪目,10
掱,10
蝎宝,9
摇,9
xxbt,9
DD,9
传统,9
混沌,9
女儿,9
危,9
30,9
兔子,8
doge,8
不太,8
预定,8
营业,8
爱心,8
轴,7
man,7
想,7
2333,7
听,7
狂喜,7
d,7
晃,7
指,7
立花,7
单推,7
断尾,7
风干,7
多个,7
噔,7
软,7
side,6
友好,6
手势,6
pa,6
变,6
www,6
弹,6
泡,6
挺,6
弹幕,6
死,6
真的,6
妈妈,6
duang,6
团长,6
煲汤,6
东西,6
转,6
出道,6
高,6
药效,6
真,6
