word,count
乱子,84
 ,33
草,22
粤语,12
hso,12
姐姐,10
i,10
好听,9
❤,8
笑,7
喜欢,7
NTR,7
捧,7
生日快乐,7
狗头,6
哈哈哈哈,6
哈哈哈,6
好大,6
出租车,6
粉黛,5
真的,5
头发,5
防护服,5
简介,5
弹幕,4
太,4
爱,4
加油,4
昏睡,4
请,4
想,4
只能,3
24,3
黑,3
凤梨,3
懂,3
推,3
听,3
伸懒腰,3
Q,3
弹,3
awsl,3
念错,3
事,3
声音,3
花,3
衣服,3
k,3
 ,3
doge,3
斤,3
淦,3
nb,3
找,3
借口,3
视频,3
坏,3
耗子,3
尾汁,3
拿来,3
女孩子,3
lsp,3
麻药,2
这是,2
呜呜,2
岁,2
学生,2
诶,2
胸,2
机会,2
肥宅,2
美少女,2
处,2
女,2
妈妈,2
奇怪,2
特长,2
增加,2
投币,2
抖,2
睡觉,2
睡,2
高,2
真,2
打哈欠,2
唱,2
我来,2
100,2
种田,2
谢谢,2
晃,2
广东,2
￣,2
隔离,2
女人,2
姐,2
谢罪,2
x,2
jpg,2
停过,2
