word,count
草,1278
 ,919
哈哈哈,502
哈哈哈哈,192
驴,175
耶,107
帕里,107
可爱,106
好听,100
迪士尼,99
inga,87
锤子,76
公主,76
太,73
三语,63
说,62
好家伙,57
awsl,54
kksk,52
中文,51
驴宝,50
真的,48
卧槽,48
逃,46
浣熊,45
笑,45
爱,42
听,42
笨笨,41
Inga,41
真,38
厉害,33
因果,33
吃,32
笑声,32
懂,31
叭叭,31
太强,30
痛,30
www,29
强,27
单推,27
天才,27
死,26
想,26
草草,25
孩子,25
妈妈,25
ゴ,25
开幕,24
聪明,24
哭,24
高,23
好好,23
不好,23
标准,23
摇起来,22
憨,22
教,22
方式,22
好事,21
装甲,21
痛痛,21
火烧,20
喜欢,20
震撼,20
点,20
唱,20
驴肉,20
老大哥,19
手,19
危,19
泪目,19
确实,18
屑,18
雷击,18
doge,18
这是,18
推,18
D,18
好强,18
姐姐,17
家,17
玩,17
nano,17
啊啊啊,17
文化,17
噢,17
害怕,16
京华,16
小学生,16
里,16
妙,16
震惊,16
jpg,15
耳朵,15
干脆,15
牛,15
反,15
一换,15
